Compañía,Cliente,Unidad,Servicio,F. Inicio,Fecha Fin,Personal_Real,Personal_Estimado,Personal_Base,Factor_Promedio,Descanseros_Total,Cobertura_Total_Pct,Cobertura_Diferencial,Personal_Faltante,Personal_Sobrante,Eficiencia_Asignacion_Pct,Estado_Asignacion
J&V Resguardo S.A.C.,133200,18911,95,2020-04-30,2099-12-31,2,2.33,2,0.16666666666666666,0.3333333333333333,85.84,-0.33,0.33,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,146309,26619,I87,2025-04-01,2099-12-31,1,1.17,1,0.16666666666666666,0.16666666666666666,85.47,-0.17,0.17,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,7034,2619,41,2022-03-02,2099-12-31,4,3.5,3,0.16666666666666666,0.5,114.29,0.5,0.0,0.5,87.5,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,77667,18966,95,2025-01-01,2099-12-31,14,2.33,2,0.16666666666666666,0.3333333333333333,600.86,11.67,0.0,11.67,16.64,SOBRECARGA
J&V Resguardo S.A.C.,23973,124,48,2022-01-10,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,126663,13484,95,2022-05-01,2099-12-31,2,2.33,2,0.16666666666666666,0.3333333333333333,85.84,-0.33,0.33,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,229048,26658,16,2025-05-17,2025-05-17,0,2.33,2,0.16666666666666666,0.3333333333333333,,,0.0,0.0,0.0,NO_PLANIFICADO
Liderman Servicios S.A.C.,141305,18939,Q92,2025-05-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,70588,2291,882,2020-03-23,2099-12-31,2,2.33,2,0.16666666666666666,0.3333333333333333,85.84,-0.33,0.33,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,67486,8173,95,2024-08-01,2099-12-31,3,2.33,2,0.16666666666666666,0.3333333333333333,128.76,0.67,0.0,0.67,77.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,106559,20348,41,2025-01-01,2099-12-31,2,1.17,1,0.16666666666666666,0.16666666666666666,170.94,0.83,0.0,0.83,58.5,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,102591,17874,372,2025-01-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
