Compañía,NOMBRE_CLIENTE,Cliente,NOMBRE_UNIDAD,Unidad,NOMBRE_SERVICIO,Servicio,Grupo,NOMBRE_GRUPO,MACROZONA,ZONA,Fecha_Inicio_Min,Fecha_Fin_Max,Personal_Real,Personal_Estimado,Personal_Base,Factor_Promedio,Descanseros_Total,Cobertura_Total_Pct,Cobertura_Diferencial,Personal_Faltante,Personal_Sobrante,Estado_Asignacion
J&V Resguardo S.A.C.,COMPAÑIA PERUANA DE RADIODIFUSION S.A.,61262,America TV Filial Arequipa,14686,AGENTE SEGURIDAD 24 HRS L/D,95,"","",REGION SUR,REGION AREQUIPA,2019-05-01,2099-12-31,4,4.666666666666667,4,0.16666666666666666,0.6666666666666666,85.71,-0.67,0.67,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,"",,Trianon Local Surquillo II,4622,AGENTE SEGURIDAD 24 HRS L/D,95,0053,GRUPO TRIANON DISTRIBUIDO,ZONA SUR,ZONA S3,2013-12-01,2099-12-31,0,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo Selva S.A.C.,FUNDACION BACKUS,143727,Fundacion Backus Oriente Pucallpa,19696,AGENTE SEGURIDAD 12 HRS L/D DÍA,41,0120,GRUPO BACKUS,REGION ORIENTE,REGION UCAYALI,2021-03-01,2099-12-31,4,3.5,3,0.16666666666666666,0.5,114.29,0.5,0.0,0.5,SOBRECARGA_LEVE
Liderman Servicios S.A.C.,"PATRIMONIO EN FIDEICOMISO - D.LEG. N° 861, TITULO",137079,Guardiania BT/DPTO.503 Calle 19 Residencial Monterrico.,26232,GUARDIAN 24 HRS L/D,080,0024,GRUPO BBVA,REGION NORTE,REGION PIURA,2024-12-20,2099-12-31,0,1.1538461538461537,1,0.15384615384615385,0.15384615384615385,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,TECNOLOGICA DE ALIMENTOS S.A.,75608,Tasa Planta Supe,2698,SUPERVISOR SEGURIDAD ESPECIAL 12 HRS L/D (DÍA),573,0045,GRUPO BRECA,REGION NORTE,REGION HUACHO,2015-07-01,2099-12-31,2,1.5,1,0.5,0.5,133.33,0.5,0.0,0.5,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,IFF PERU S.A.,96577,Local La Mar 220 Santa Anita,22370,AGENTE SEGURIDAD 12 HRS L/V (DÍA),53,"","",ZONA CENTRO,ZONA C2,2025-01-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,GAS NATURAL DE LIMA Y CALLAO S.A.,86429,Calidda ERP Termo Chilca - Chilca 2,21446,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA SUR,ZONA S5,2022-03-22,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,SENSIENT NATURAL COLORS PERU S.A.C.,175114,Sensient Almacén Chorrillos,26138,AGENTE SEGURIDAD 12 HRS L/V NOCHE,54,"","",ZONA SUR,ZONA S4,2024-11-05,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,59493,PUCP Centrum,9527,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA SUR,ZONA S1,2020-01-01,2099-12-31,12,11.666666666666668,10,0.16666666666666666,1.6666666666666665,102.86,0.33,0.0,0.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,DIVECENTER S.A.C.,64608,Divemotor Local Juliaca,9754,AGENTE SEGURIDAD 24 HRS L/D,95,"","",REGION SUR,REGION PUNO,2023-11-29,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
Liderman Servicios S.A.C.,LIDERMAN SERVICIOS S.A.C.,108939,Conductor Parking (Tareo),20925,AGENTE MOTORIZADO 08 HRS L/V DÍA,K76,"","",ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY,2022-06-22,2099-12-31,1,5.0,5,0.0,0.0,20.0,-4.0,4.0,0.0,FALTA
Liderman Servicios S.A.C.,INVERSIONES LENDIPO S.A.C.,163832,CC Mega Plaza Sede Villa el Salvador 1,23473,AGENTE PARKING 08 HRS L/D TARDE,F35,0070,GRUPO PARQUE ARAUCO,ZONA PARKING Y DELIVERY,ZONA PD3,2023-07-01,2025-05-15,0,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,NO_PLANIFICADO
